model,metric_or_class,precision,recall,f1-score,support
random_forest,Low,0.6818181818181818,0.8823529411764706,0.7692307692307693,17.0
random_forest,Medium,0.5,0.4375,0.4666666666666667,16.0
random_forest,High,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
random_forest,accuracy,0.66,0.66,0.66,0.66
random_forest,macro avg,0.6558441558441558,0.6556372549019608,0.6485249517507582,50.0
random_forest,weighted avg,0.658961038961039,0.66,0.6521621174524401,50.0
catboost,Low,0.4166666666666667,0.8823529411764706,0.5660377358490566,17.0
catboost,Medium,0.46153846153846156,0.375,0.41379310344827586,16.0
catboost,High,1.0,0.058823529411764705,0.1111111111111111,17.0
catboost,accuracy,0.44,0.44,0.44,0.44
catboost,macro avg,0.6260683760683761,0.4387254901960784,0.36364731680281454,50.0
catboost,weighted avg,0.6293589743589744,0.44,0.36264440106990525,50.0
