model,feature,importance
random_forest,sentinel__elevation__subunit_mean,0.2036919029028403
random_forest,sentinel__slope__subunit_std,0.17946108774525366
random_forest,sentinel__ndbi__subunit_mean,0.16736424578331013
random_forest,sentinel__slope__subunit_mean,0.14584030942155632
random_forest,sentinel__ndvi__subunit_mean,0.08015681679300808
random_forest,sentinel__mndwi__subunit_mean,0.05596871180218327
random_forest,sentinel__ndbi__subunit_std,0.04749856258194046
random_forest,sentinel__mndwi__subunit_std,0.043526524377080045
random_forest,sentinel__elevation__subunit_std,0.039859692011570795
random_forest,sentinel__ndvi__subunit_std,0.036632146581256866
catboost,sentinel__elevation__subunit_mean,19.791742940421823
catboost,sentinel__slope__subunit_std,18.30669565199483
catboost,sentinel__slope__subunit_mean,14.119462008747938
catboost,sentinel__ndbi__subunit_mean,13.911733473041135
catboost,sentinel__ndvi__subunit_mean,8.6723226659776
catboost,sentinel__elevation__subunit_std,7.259188663910969
catboost,sentinel__mndwi__subunit_std,5.524856035283653
catboost,sentinel__mndwi__subunit_mean,4.855831208207819
catboost,sentinel__ndbi__subunit_std,4.256028807627494
catboost,sentinel__ndvi__subunit_std,3.3021385447867138
