feature,missing_count,missing_rate,mean,std,min,max
sentinel__elevation__subunit_mean,15,0.03,1664.1414541448305,329.25202881799856,1339.3292063492063,3249.659653032615
sentinel__elevation__subunit_std,35,0.07,61.44389522081032,53.525541408821766,0.5397581763057228,380.8706399205128
sentinel__ndvi__subunit_mean,15,0.03,0.3974679513856796,0.14449283317257833,-0.2003861322107132,0.8789227578291453
sentinel__ndvi__subunit_std,35,0.07,0.09503907282027436,0.058941725911084424,0.0061144042500716,0.5184653303508928
sentinel__ndbi__subunit_mean,15,0.03,-0.013409169603157588,0.08386106887479422,-0.3624993315984382,0.1621968804405506
sentinel__ndbi__subunit_std,35,0.07,0.0642417905900679,0.03287067941579934,1.421294314697424e-05,0.2910012246554075
sentinel__mndwi__subunit_mean,15,0.03,-0.4666062821795209,0.09591021317602558,-0.6160571352053494,0.4906904178262011
sentinel__mndwi__subunit_std,35,0.07,0.05142830440106599,0.06728811844921007,0.0041695160444284,0.4905925496414787
sentinel__slope__subunit_mean,165,0.33,9.94985249257287,4.195374216799931,1.9826722297214323,27.206203103438515
sentinel__slope__subunit_std,185,0.37,3.4151354006673804,1.9261014101773766,0.1500601154165961,12.765738696572184
