sector_id,sector_name,district,sector_name_key,district_key,sector_area_km2
RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237
RWA.1.4.2_1,Cyuve,Musanze,cyuve,musanze,33.05434551212677
RWA.1.4.3_1,Gacaca,Musanze,gacaca,musanze,34.36761296716713
RWA.1.4.4_1,Gashaki,Musanze,gashaki,musanze,29.089799051309292
RWA.1.4.5_1,Gataraga,Musanze,gataraga,musanze,48.324555352889604
RWA.1.4.6_1,Kimonyi,Musanze,kimonyi,musanze,21.438775270812865
RWA.1.4.7_1,Kinigi,Musanze,kinigi,musanze,68.0723356361321
RWA.1.4.8_1,Muhoza,Musanze,muhoza,musanze,21.105175429732384
RWA.1.4.9_1,Muko,Musanze,muko,musanze,20.19111889919126
RWA.1.4.10_1,Musanze,Musanze,musanze,musanze,32.66200586847179
RWA.1.4.11_1,Nkotsi,Musanze,nkotsi,musanze,24.130865690597265
RWA.1.4.12_1,Nyange,Musanze,nyange,musanze,54.94985338411601
RWA.1.4.13_1,Remera,Musanze,remera,musanze,25.800503771374583
RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848
RWA.1.4.15_1,Shingiro,Musanze,shingiro,musanze,49.888491268508844
RWA.5.1.1_1,Bumbogo,Gasabo,bumbogo,gasabo,61.12741540532233
RWA.5.1.2_1,Gatsata,Gasabo,gatsata,gasabo,6.096727178110713
RWA.5.1.3_1,Gikomero,Gasabo,gikomero,gasabo,34.9827951287815
RWA.5.1.4_1,Gisozi,Gasabo,gisozi,gasabo,8.371142791157402
RWA.5.1.5_1,Jabana,Gasabo,jabana,gasabo,36.1107812622888
RWA.5.1.6_1,Jali,Gasabo,jali,gasabo,37.17502905870608
RWA.5.1.7_1,Kacyiru,Gasabo,kacyiru,gasabo,5.708784967928655
RWA.5.1.8_1,Kimihurura,Gasabo,kimihurura,gasabo,4.97306408284122
RWA.5.1.9_1,Kimironko,Gasabo,kimironko,gasabo,11.432203090330692
RWA.5.1.10_1,Kinyinya,Gasabo,kinyinya,gasabo,24.176965825843986
RWA.5.1.11_1,Ndera,Gasabo,ndera,gasabo,50.261827235971985
RWA.5.1.12_1,Nduba,Gasabo,nduba,gasabo,46.572997735681746
RWA.5.1.13_1,Remera,Gasabo,remera,gasabo,7.416782585550188
RWA.5.1.14_1,Rusororo,Gasabo,rusororo,gasabo,52.49404211434748
RWA.5.1.15_1,Rutunga,Gasabo,rutunga,gasabo,43.031013805388845
RWA.5.2.1_1,Gahanga,Kicukiro,gahanga,kicukiro,36.99449318313045
RWA.5.2.2_1,Gatenga,Kicukiro,gatenga,kicukiro,12.261068054871304
RWA.5.2.3_1,Gikondo,Kicukiro,gikondo,kicukiro,3.4123197923280157
RWA.5.2.4_1,Kagarama,Kicukiro,kagarama,kicukiro,7.933119026339698
RWA.5.2.5_1,Kanombe,Kicukiro,kanombe,kicukiro,22.91724886984972
RWA.5.2.6_1,Kicukiro,Kicukiro,kicukiro,kicukiro,2.0629792430388907
RWA.5.2.7_1,Kigarama,Kicukiro,kigarama,kicukiro,8.41097130768073
RWA.5.2.8_1,Masaka,Kicukiro,masaka,kicukiro,52.60882084684921
RWA.5.2.9_1,Niboye,Kicukiro,niboye,kicukiro,5.050873028350204
RWA.5.2.10_1,Nyarugunga,Kicukiro,nyarugunga,kicukiro,15.299086315380123
RWA.5.3.1_1,Gitega,Nyarugenge,gitega,nyarugenge,1.2756053780004335
RWA.5.3.2_1,Kanyinya,Nyarugenge,kanyinya,nyarugenge,24.175865083274385
RWA.5.3.3_1,Kigali,Nyarugenge,kigali,nyarugenge,29.431738815275022
RWA.5.3.4_1,Kimisagara,Nyarugenge,kimisagara,nyarugenge,3.3995666725979117
RWA.5.3.5_1,Mageregere,Nyarugenge,mageregere,nyarugenge,54.53049084158416
RWA.5.3.6_1,Muhima,Nyarugenge,muhima,nyarugenge,2.95658677406963
RWA.5.3.7_1,Nyakabanda,Nyarugenge,nyakabanda,nyarugenge,2.430074884091499
RWA.5.3.8_1,Nyamirambo,Nyarugenge,nyamirambo,nyarugenge,8.623701956421893
RWA.5.3.9_1,Nyarugenge,Nyarugenge,nyarugenge,nyarugenge,4.595442816207816
RWA.5.3.10_1,Rwezamenyo,Nyarugenge,rwezamenyo,nyarugenge,1.0074094361668149
